"Registered" "Date" "Year" "Month" "Day" "Hour" "Holiday" "WorkDay" "Weather" "Temp" "TempFeel" "Humidity" "Windspeed" "Casual"
"14381" 302 "2012-08-27" "2012" 8 1 9 0 1 1 0.66 0.6061 0.83 0.1045 40
"8219" 2 "2011-12-14" "2011" 12 3 2 0 1 1 0.26 0.303 0.75 0 0
"1192" 79 "2011-02-22" "2011" 2 2 16 0 1 1 0.22 0.2273 0.51 0.1642 7
"11351" 1 "2012-04-23" "2012" 4 1 3 0 1 2 0.32 0.303 0.81 0.2836 0
"6257" 99 "2011-09-23" "2011" 9 5 6 0 1 2 0.62 0.5455 0.94 0.0896 5
"6077" 222 "2011-09-15" "2011" 9 4 18 0 1 3 0.48 0.4697 0.67 0.6119 22
"719" 48 "2011-02-02" "2011" 2 3 7 0 1 3 0.22 0.2121 0.93 0.2239 1
"1689" 17 "2011-03-15" "2011" 3 2 23 0 1 2 0.32 0.3182 0.87 0.1642 1
"960" 90 "2011-02-12" "2011" 2 6 14 0 0 1 0.34 0.3182 0.31 0.2836 30
"14949" 14 "2012-09-20" "2012" 9 4 1 0 1 1 0.46 0.4545 0.72 0.1045 4
"4119" 252 "2011-06-25" "2011" 6 6 12 0 0 1 0.74 0.6515 0.4 0.2836 140
"9407" 254 "2012-02-01" "2012" 2 3 20 0 1 1 0.52 0.5 0.52 0.1642 10
"13361" 164 "2012-07-15" "2012" 7 0 21 0 0 1 0.72 0.697 0.79 0.0896 59
"16183" 43 "2012-11-12" "2012" 11 1 0 1 0 1 0.42 0.4242 0.71 0.1045 6
"14548" 91 "2012-09-03" "2012" 9 1 8 1 0 2 0.7 0.6667 0.84 0.1045 36
"6453" 100 "2011-10-01" "2011" 10 6 10 0 0 3 0.4 0.4091 0.76 0.3582 21
"1675" 147 "2011-03-15" "2011" 3 2 9 0 1 2 0.3 0.3333 0.7 0 10
"15939" 424 "2012-11-01" "2012" 11 4 19 0 1 2 0.4 0.4091 0.5 0.1642 28
"8251" 105 "2011-12-15" "2011" 12 4 10 0 1 2 0.4 0.4091 0.58 0.2985 4
"1475" 23 "2011-03-06" "2011" 3 0 18 0 0 3 0.32 0.2879 1 0.3582 0
"12299" 213 "2012-06-01" "2012" 6 5 15 0 1 3 0.72 0.6818 0.66 0.2836 45
"6091" 386 "2011-09-16" "2011" 9 5 8 0 1 1 0.42 0.4242 0.67 0.2239 23
"7935" 84 "2011-12-02" "2011" 12 5 6 0 1 1 0.22 0.2727 0.8 0 3
"8445" 156 "2011-12-23" "2011" 12 5 12 0 1 1 0.4 0.4091 0.54 0.5224 14
"5701" 74 "2011-08-30" "2011" 8 2 23 0 1 1 0.62 0.6061 0.61 0 19
"5339" 326 "2011-08-15" "2011" 8 1 8 0 1 1 0.64 0.5909 0.78 0.3284 29
"13383" 503 "2012-07-16" "2012" 7 1 19 0 1 1 0.8 0.7879 0.63 0.1343 92
"4050" 114 "2011-06-22" "2011" 6 3 15 0 1 2 0.82 0.7879 0.56 0.2836 32
"16553" 52 "2012-11-27" "2012" 11 2 10 0 1 3 0.32 0.3182 0.81 0.194 5
"6862" 112 "2011-10-18" "2011" 10 2 11 0 1 2 0.6 0.6212 0.49 0.1045 35
"13578" 226 "2012-07-24" "2012" 7 2 22 0 1 1 0.74 0.697 0.66 0.2537 43
"2163" 30 "2011-04-04" "2011" 4 1 23 0 1 2 0.64 0.6212 0.47 0.2239 18
"1558" 43 "2011-03-10" "2011" 3 4 8 0 1 3 0.38 0.3939 0 0.2836 1
"3782" 215 "2011-06-11" "2011" 6 6 11 0 0 1 0.76 0.7121 0.62 0.1343 110
"10531" 190 "2012-03-19" "2012" 3 1 21 0 1 1 0.6 0.6061 0.64 0.1642 33
"4975" 7 "2011-07-31" "2011" 7 0 4 0 0 1 0.72 0.6818 0.7 0 6
"2623" 5 "2011-04-24" "2011" 4 0 4 0 0 1 0.5 0.4848 0.94 0.0896 0
"7994" 207 "2011-12-04" "2011" 12 0 17 0 0 1 0.38 0.3939 0.76 0.1343 38
"8515" 66 "2011-12-26" "2011" 12 1 12 1 0 1 0.36 0.3182 0.43 0.4627 34
"1321" 90 "2011-02-28" "2011" 2 1 7 0 1 2 0.36 0.3636 0.93 0.1045 2
"6632" 133 "2011-10-08" "2011" 10 6 21 0 0 1 0.52 0.5 0.77 0 54
"4882" 313 "2011-07-27" "2011" 7 3 7 0 1 1 0.72 0.6667 0.48 0.2537 34
"9580" 2 "2012-02-09" "2012" 2 4 2 0 1 1 0.22 0.2273 0.8 0.1343 0
"6369" 102 "2011-09-27" "2011" 9 2 22 0 1 1 0.6 0.5455 0.88 0.0896 19
"7748" 64 "2011-11-24" "2011" 11 4 10 1 0 1 0.36 0.3788 0.57 0 34
"13644" 419 "2012-07-27" "2012" 7 5 16 0 1 1 0.84 0.7727 0.47 0.2239 80
"12" 30 "2011-01-01" "2011" 1 6 11 0 0 1 0.36 0.3333 0.81 0.2836 26
"2221" 155 "2011-04-07" "2011" 4 4 9 0 1 2 0.4 0.4091 0.66 0.1343 15
"15255" 368 "2012-10-02" "2012" 10 2 19 0 1 3 0.62 0.5455 0.94 0 27
"10031" 50 "2012-02-27" "2012" 2 1 23 0 1 1 0.42 0.4242 0.5 0.1642 6
"11068" 581 "2012-04-11" "2012" 4 3 8 0 1 1 0.3 0.2879 0.49 0.2239 14
"7740" 19 "2011-11-24" "2011" 11 4 2 1 0 1 0.3 0.2879 0.61 0.2836 3
"614" 84 "2011-01-28" "2011" 1 5 19 0 1 2 0.24 0.2424 0.75 0.1343 5
"1289" 60 "2011-02-26" "2011" 2 6 20 0 0 1 0.3 0.303 0.56 0.1642 8
"14506" 274 "2012-09-01" "2012" 9 6 14 0 0 2 0.86 0.7879 0.44 0.1642 240
"14782" 9 "2012-09-13" "2012" 9 4 2 0 1 1 0.54 0.5152 0.77 0 0
"6085" 7 "2011-09-16" "2011" 9 5 2 0 1 1 0.4 0.4091 0.71 0.2836 3
"17159" 99 "2012-12-22" "2012" 12 6 17 0 0 1 0.28 0.2576 0.41 0.2985 15
"11712" 5 "2012-05-08" "2012" 5 2 4 0 1 2 0.52 0.5 0.68 0.3284 0
"5576" 25 "2011-08-25" "2011" 8 4 5 0 1 1 0.66 0.6061 0.83 0.4179 1
"3043" 240 "2011-05-11" "2011" 5 3 16 0 1 1 0.66 0.6212 0.39 0 49
"3015" 170 "2011-05-10" "2011" 5 2 12 0 1 2 0.6 0.6212 0.38 0 47
"16911" 272 "2012-12-12" "2012" 12 3 9 0 1 2 0.28 0.2879 0.61 0.1343 13
"14647" 215 "2012-09-07" "2012" 9 5 11 0 1 1 0.76 0.7121 0.62 0.1343 81
"8430" 15 "2011-12-22" "2011" 12 4 21 0 1 3 0.42 0.4242 0.71 0 2
"9179" 267 "2012-01-23" "2012" 1 1 8 0 1 3 0.2 0.2121 0.86 0.1343 5
"15796" 746 "2012-10-25" "2012" 10 4 8 0 1 2 0.52 0.5 0.83 0.1642 33
"14678" 140 "2012-09-08" "2012" 9 6 18 0 0 3 0.58 0.5455 0.83 0.1343 27
"13955" 204 "2012-08-09" "2012" 8 4 15 0 1 1 0.88 0.7727 0.32 0.2239 63
"7732" 138 "2011-11-23" "2011" 11 3 18 0 1 2 0.4 0.4091 0.58 0.5224 7
"8566" 144 "2011-12-28" "2011" 12 3 16 0 1 1 0.3 0.2727 0.36 0.4179 23
"16390" 226 "2012-11-20" "2012" 11 2 15 0 1 2 0.46 0.4545 0.55 0.1045 61
"16095" 652 "2012-11-08" "2012" 11 4 8 0 1 1 0.3 0.2879 0.33 0.2836 16
"5662" 384 "2011-08-29" "2011" 8 1 8 0 1 1 0.62 0.6212 0.57 0.2537 20
"3053" 14 "2011-05-12" "2011" 5 4 2 0 1 1 0.44 0.4394 0.94 0.194 1
"9414" 2 "2012-02-02" "2012" 2 4 3 0 1 2 0.42 0.4242 0.67 0.1343 0
"8616" 163 "2011-12-30" "2011" 12 5 18 0 1 1 0.36 0.3485 0.62 0.1343 19
"8440" 88 "2011-12-23" "2011" 12 5 7 0 1 1 0.38 0.3939 0.82 0.2239 4
"9306" 320 "2012-01-28" "2012" 1 6 15 0 0 1 0.4 0.4091 0.47 0.3284 90
"9937" 15 "2012-02-24" "2012" 2 5 1 0 1 1 0.44 0.4394 0.62 0.194 3
"16995" 169 "2012-12-15" "2012" 12 6 21 0 0 1 0.36 0.3485 0.62 0.1343 15
"16674" 409 "2012-12-02" "2012" 12 0 12 0 0 2 0.34 0.3333 0.81 0.1642 111
"6080" 134 "2011-09-15" "2011" 9 4 21 0 1 1 0.46 0.4545 0.63 0.3284 11
"4066" 301 "2011-06-23" "2011" 6 4 7 0 1 2 0.72 0.697 0.74 0.1343 26
"4184" 20 "2011-06-28" "2011" 6 2 5 0 1 1 0.66 0.6061 0.78 0 1
"2418" 112 "2011-04-15" "2011" 4 5 15 1 0 1 0.54 0.5152 0.52 0.4478 50
"8191" 71 "2011-12-12" "2011" 12 1 22 0 1 1 0.26 0.303 0.7 0 0
"8238" 145 "2011-12-14" "2011" 12 3 21 0 1 2 0.34 0.3333 0.66 0.1642 9
"8935" 4 "2012-01-13" "2012" 1 5 3 0 1 1 0.36 0.3333 0.87 0.2537 3
"9742" 207 "2012-02-15" "2012" 2 3 20 0 1 1 0.36 0.3485 0.46 0.1642 4
"1066" 1 "2011-02-17" "2011" 2 4 3 0 1 1 0.34 0.3333 0.53 0.194 3
"4091" 439 "2011-06-24" "2011" 6 5 8 0 1 1 0.7 0.6667 0.74 0.2239 27
"6792" 223 "2011-10-15" "2011" 10 6 13 0 0 1 0.6 0.6212 0.35 0.4627 171
"9081" 86 "2012-01-19" "2012" 1 4 6 0 1 1 0.12 0.1364 0.54 0.1642 0
"2499" 23 "2011-04-19" "2011" 4 2 0 0 1 1 0.5 0.4848 0.55 0.2239 2
"6926" 6 "2011-10-21" "2011" 10 5 4 0 1 1 0.36 0.3485 0.71 0.1642 0
"9421" 72 "2012-02-02" "2012" 2 4 10 0 1 3 0.42 0.4242 0.77 0.1045 6
"3520" 110 "2011-05-31" "2011" 5 2 13 0 1 1 0.9 0.8333 0.39 0.1642 37
"15341" 265 "2012-10-06" "2012" 10 6 9 0 0 1 0.6 0.5909 0.73 0.194 130
"14572" 617 "2012-09-04" "2012" 9 2 8 0 1 1 0.7 0.6667 0.84 0.1642 15
"2003" 128 "2011-03-29" "2011" 3 2 7 0 1 1 0.22 0.197 0.41 0.3582 5
"13084" 110 "2012-07-04" "2012" 7 3 8 1 0 1 0.7 0.6515 0.61 0.1045 43
"5367" 120 "2011-08-16" "2011" 8 2 12 0 1 1 0.76 0.6818 0.48 0.3284 42
"15630" 158 "2012-10-18" "2012" 10 4 10 0 1 2 0.52 0.5 0.68 0.2239 60
"4696" 139 "2011-07-19" "2011" 7 2 13 0 1 1 0.86 0.8333 0.53 0.1045 33
"6601" 179 "2011-10-07" "2011" 10 5 14 0 1 1 0.62 0.6212 0.5 0 77
"14562" 104 "2012-09-03" "2012" 9 1 22 1 0 2 0.7 0.6667 0.84 0.1343 17
"9038" 73 "2012-01-17" "2012" 1 2 11 0 1 2 0.34 0.3485 0.87 0.1045 2
"208" 10 "2011-01-09" "2011" 1 0 22 0 0 1 0.14 0.1212 0.46 0.2985 5
"10054" 95 "2012-02-28" "2012" 2 2 22 0 1 1 0.34 0.3485 0.46 0.1045 6
"48" 5 "2011-01-03" "2011" 1 1 0 0 1 1 0.22 0.197 0.44 0.3582 0
"1106" 146 "2011-02-18" "2011" 2 5 19 0 1 1 0.62 0.6212 0.29 0.5821 16
"15617" 301 "2012-10-17" "2012" 10 3 21 0 1 1 0.46 0.4545 0.82 0.194 28
"6444" 47 "2011-10-01" "2011" 10 6 1 0 0 1 0.48 0.4697 0.67 0.3284 11
"8817" 4 "2012-01-08" "2012" 1 0 4 0 0 1 0.32 0.303 0.49 0.2537 2
"705" 172 "2011-02-01" "2011" 2 2 17 0 1 2 0.24 0.2879 0.75 0 4
"12066" 157 "2012-05-22" "2012" 5 2 22 0 1 1 0.62 0.5909 0.73 0.0896 17
"14408" 241 "2012-08-28" "2012" 8 2 12 0 1 1 0.8 0.7424 0.49 0.2836 56
"3902" 117 "2011-06-16" "2011" 6 4 11 0 1 2 0.68 0.6364 0.61 0.2985 33
"9795" 38 "2012-02-18" "2012" 2 6 1 0 0 1 0.32 0.3182 0.49 0.1642 7
"673" 182 "2011-01-31" "2011" 1 1 8 0 1 2 0.16 0.1364 0.59 0.2836 3
"13790" 681 "2012-08-02" "2012" 8 4 18 0 1 1 0.8 0.7727 0.59 0.2239 86
"3049" 134 "2011-05-11" "2011" 5 3 22 0 1 1 0.5 0.4848 0.72 0.2537 12
"11417" 212 "2012-04-25" "2012" 4 3 21 0 1 1 0.52 0.5 0.52 0.1343 27
"5950" 233 "2011-09-10" "2011" 9 6 10 0 0 1 0.7 0.6515 0.65 0.2537 85
"14095" 155 "2012-08-15" "2012" 8 3 11 0 1 2 0.74 0.6818 0.58 0.194 80
"12084" 216 "2012-05-23" "2012" 5 3 16 0 1 3 0.7 0.6515 0.61 0.0896 62
"3500" 202 "2011-05-30" "2011" 5 1 17 1 0 1 0.86 0.7879 0.41 0.2239 102
"308" 70 "2011-01-14" "2011" 1 5 7 0 1 1 0.1 0.1212 0.74 0.1642 0
"8549" 29 "2011-12-27" "2011" 12 2 22 0 1 1 0.32 0.3333 0.87 0.0896 3
"12551" 9 "2012-06-12" "2012" 6 2 3 0 1 2 0.66 0.6212 0.69 0.2537 3
"5345" 95 "2011-08-15" "2011" 8 1 14 0 1 1 0.74 0.6818 0.55 0.0896 56
"2201" 83 "2011-04-06" "2011" 4 3 13 0 1 1 0.46 0.4545 0.38 0.4925 29
"843" 54 "2011-02-07" "2011" 2 1 13 0 1 2 0.36 0.3636 0.57 0.0896 10
"11354" 43 "2012-04-23" "2012" 4 1 6 0 1 2 0.3 0.2727 0.81 0.2985 2
"7592" 83 "2011-11-17" "2011" 11 4 22 0 1 1 0.26 0.2424 0.52 0.2537 1
"11915" 222 "2012-05-16" "2012" 5 3 15 0 1 2 0.72 0.6667 0.48 0.1045 52
"14539" 70 "2012-09-02" "2012" 9 0 23 0 0 3 0.66 0.5909 0.89 0.0896 53
"12174" 215 "2012-05-27" "2012" 5 0 10 0 0 1 0.68 0.6364 0.74 0.2537 209
"12739" 102 "2012-06-19" "2012" 6 2 23 0 1 1 0.72 0.697 0.79 0.1343 23
"13160" 218 "2012-07-07" "2012" 7 6 12 0 0 1 0.96 0.8636 0.31 0.3582 124
"1616" 86 "2011-03-12" "2011" 3 6 19 0 0 1 0.42 0.4242 0.54 0.0896 26
"7517" 274 "2011-11-14" "2011" 11 1 19 0 1 1 0.6 0.6212 0.53 0.2985 28
"2230" 265 "2011-04-07" "2011" 4 4 18 0 1 1 0.48 0.4697 0.55 0.2537 68
"5615" 183 "2011-08-26" "2011" 8 5 20 0 1 1 0.72 0.697 0.79 0.0896 39
"17355" 39 "2012-12-30" "2012" 12 0 23 0 0 1 0.2 0.197 0.51 0.2239 10
"621" 15 "2011-01-29" "2011" 1 6 2 0 0 1 0.22 0.2273 0.64 0.1642 0
"414" 32 "2011-01-19" "2011" 1 3 6 0 1 2 0.22 0.2576 0.93 0.0896 0
"9228" 218 "2012-01-25" "2012" 1 3 9 0 1 1 0.24 0.2273 0.7 0.2537 18
"416" 196 "2011-01-19" "2011" 1 3 8 0 1 2 0.24 0.2576 0.93 0.1045 1
"8067" 48 "2011-12-07" "2011" 12 3 18 0 1 3 0.4 0.4091 0.94 0.2985 3
"3955" 275 "2011-06-18" "2011" 6 6 16 0 0 2 0.76 0.697 0.52 0.2239 193
"2876" 388 "2011-05-04" "2011" 5 3 17 0 1 1 0.4 0.4091 0.71 0.2537 22
"16981" 47 "2012-12-15" "2012" 12 6 7 0 0 2 0.24 0.2576 0.75 0.0896 1
"13058" 149 "2012-07-03" "2012" 7 2 6 0 1 1 0.7 0.6515 0.65 0.1343 5
"8765" 24 "2012-01-06" "2012" 1 5 0 0 1 1 0.22 0.2576 0.75 0.0896 1
"7199" 147 "2011-11-01" "2011" 11 2 13 0 1 1 0.48 0.4697 0.55 0.194 20
"5581" 105 "2011-08-25" "2011" 8 4 10 0 1 2 0.74 0.697 0.66 0.2985 37
"5127" 252 "2011-08-06" "2011" 8 6 12 0 0 1 0.8 0.7576 0.55 0.2239 130
"12272" 230 "2012-05-31" "2012" 5 4 12 0 1 1 0.72 0.6515 0.37 0.194 62
"7690" 14 "2011-11-22" "2011" 11 2 0 0 1 3 0.38 0.3939 0.94 0.1045 0
"17060" 191 "2012-12-18" "2012" 12 2 14 0 1 1 0.46 0.4545 0.47 0.4478 56
"4265" 225 "2011-07-01" "2011" 7 5 14 0 1 1 0.82 0.697 0.23 0.194 78
"9990" 2 "2012-02-26" "2012" 2 0 6 0 0 1 0.22 0.197 0.44 0.3284 0
"792" 31 "2011-02-05" "2011" 2 6 10 0 0 3 0.2 0.2121 1 0.1343 3
"13472" 233 "2012-07-20" "2012" 7 5 12 0 1 3 0.68 0.6364 0.83 0.1642 41
"17213" 10 "2012-12-25" "2012" 12 2 0 1 0 3 0.24 0.2576 0.93 0.0896 3
"8731" 69 "2012-01-04" "2012" 1 3 14 0 1 2 0.14 0.1212 0.46 0.2537 6
"4512" 109 "2011-07-11" "2011" 7 1 21 0 1 1 0.7 0.6667 0.79 0.4179 21
"489" 50 "2011-01-22" "2011" 1 6 10 0 0 2 0.04 0.0606 0.41 0.1642 3
"6097" 176 "2011-09-16" "2011" 9 5 14 0 1 2 0.54 0.5152 0.45 0.1642 49
"12707" 176 "2012-06-18" "2012" 6 1 15 0 1 2 0.6 0.5909 0.69 0.194 61
"12291" 369 "2012-06-01" "2012" 6 5 7 0 1 2 0.64 0.5758 0.89 0.194 33
"12789" 28 "2012-06-22" "2012" 6 5 1 0 1 1 0.76 0.7424 0.75 0.1642 3
"133" 158 "2011-01-06" "2011" 1 4 18 0 1 1 0.22 0.2273 0.51 0.1343 5
"9311" 115 "2012-01-28" "2012" 1 6 20 0 0 1 0.4 0.4091 0.35 0.3881 5
"7655" 285 "2011-11-20" "2011" 11 0 13 0 0 2 0.54 0.5152 0.6 0.194 84
"4115" 85 "2011-06-25" "2011" 6 6 8 0 0 1 0.7 0.6515 0.48 0.2537 27
"15950" 120 "2012-11-02" "2012" 11 5 6 0 1 1 0.3 0.303 0.7 0.1642 2
"11179" 65 "2012-04-15" "2012" 4 0 23 0 0 1 0.66 0.6212 0.5 0.3881 25
"13856" 330 "2012-08-05" "2012" 8 0 12 0 0 1 0.86 0.803 0.47 0.5224 161
"16925" 76 "2012-12-12" "2012" 12 3 23 0 1 2 0.28 0.2727 0.56 0.2239 3
"13457" 294 "2012-07-19" "2012" 7 4 21 0 1 3 0.66 0.5909 0.89 0.2537 38
"15705" 383 "2012-10-21" "2012" 10 0 13 0 0 1 0.56 0.5303 0.37 0.2537 243
"7464" 244 "2011-11-12" "2011" 11 6 14 0 0 1 0.5 0.4848 0.36 0.2985 191
"8496" 51 "2011-12-25" "2011" 12 0 16 0 0 1 0.36 0.3636 0.57 0.1045 35
"16138" 11 "2012-11-10" "2012" 11 6 3 0 0 1 0.3 0.3333 0.81 0 9
"5106" 160 "2011-08-05" "2011" 8 5 15 0 1 1 0.76 0.697 0.55 0.2537 50
"12456" 9 "2012-06-08" "2012" 6 5 4 0 1 1 0.52 0.5 0.63 0 1
"1384" 44 "2011-03-02" "2011" 3 3 22 0 1 1 0.3 0.2576 0.26 0.5522 4
"12249" 236 "2012-05-30" "2012" 5 3 13 0 1 1 0.7 0.6515 0.51 0 53
"5699" 180 "2011-08-30" "2011" 8 2 21 0 1 1 0.64 0.6061 0.65 0.0896 43
"12415" 161 "2012-06-06" "2012" 6 3 11 0 1 1 0.62 0.6212 0.43 0.0896 65
"10829" 55 "2012-04-01" "2012" 4 0 7 0 0 2 0.36 0.3485 0.71 0.1343 29
"4745" 97 "2011-07-21" "2011" 7 4 14 0 1 1 0.9 0.8939 0.5 0.3582 50
"13166" 194 "2012-07-07" "2012" 7 6 18 0 0 1 0.94 0.8333 0.29 0.0896 83
"4972" 71 "2011-07-31" "2011" 7 0 1 0 0 1 0.74 0.6818 0.62 0.0896 8
"15861" 111 "2012-10-28" "2012" 10 0 1 0 0 2 0.5 0.4848 0.72 0.2836 22
"13296" 11 "2012-07-13" "2012" 7 5 4 0 1 2 0.66 0.6212 0.61 0 0
"6685" 4 "2011-10-11" "2011" 10 2 2 0 1 2 0.52 0.5 0.94 0.1343 1
"15945" 19 "2012-11-02" "2012" 11 5 1 0 1 1 0.32 0.3182 0.66 0.1642 5
"12047" 5 "2012-05-22" "2012" 5 2 3 0 1 2 0.58 0.5455 0.83 0.1045 0
"9079" 1 "2012-01-19" "2012" 1 4 4 0 1 1 0.12 0.1515 0.54 0.1045 0
"13392" 7 "2012-07-17" "2012" 7 2 4 0 1 1 0.72 0.6818 0.62 0 0
"12235" 40 "2012-05-29" "2012" 5 2 23 0 1 3 0.62 0.5455 0.94 0 10
"14374" 8 "2012-08-27" "2012" 8 1 2 0 1 1 0.62 0.5606 0.88 0.1343 0
"2361" 33 "2011-04-13" "2011" 4 3 6 0 1 3 0.38 0.3939 0.94 0.2239 1
"13077" 96 "2012-07-04" "2012" 7 3 1 1 0 1 0.68 0.6364 0.74 0 27
"13214" 790 "2012-07-09" "2012" 7 1 18 0 1 1 0.76 0.6818 0.48 0.1343 82
"2615" 138 "2011-04-23" "2011" 4 6 20 0 0 2 0.54 0.5152 0.88 0.2537 45
"8172" 2 "2011-12-12" "2011" 12 1 3 0 1 1 0.18 0.2424 0.74 0 0
"3227" 453 "2011-05-19" "2011" 5 4 8 0 1 2 0.52 0.5 0.88 0 34
"9271" 3 "2012-01-27" "2012" 1 5 4 0 1 2 0.4 0.4091 1 0.2985 1
"360" 70 "2011-01-16" "2011" 1 0 11 0 0 1 0.24 0.2273 0.44 0.2537 23
"6933" 135 "2011-10-21" "2011" 10 5 11 0 1 1 0.5 0.4848 0.45 0.2239 39
"8289" 59 "2011-12-17" "2011" 12 6 0 0 0 1 0.3 0.2879 0.49 0.2836 3
"14969" 246 "2012-09-20" "2012" 9 4 21 0 1 1 0.56 0.5303 0.64 0.194 28
"17285" 9 "2012-12-28" "2012" 12 5 1 0 1 1 0.24 0.2273 0.6 0.194 0
"12692" 28 "2012-06-18" "2012" 6 1 0 0 1 1 0.56 0.5303 0.73 0.2537 12
"429" 55 "2011-01-19" "2011" 1 3 21 0 1 1 0.32 0.2879 0.49 0.4179 4
"12073" 29 "2012-05-23" "2012" 5 3 5 0 1 3 0.56 0.5303 0.88 0.2537 6
"4642" 30 "2011-07-17" "2011" 7 0 7 0 0 1 0.64 0.6061 0.73 0.1642 20
"863" 128 "2011-02-08" "2011" 2 2 9 0 1 1 0.24 0.197 0.52 0.4925 7
"14622" 40 "2012-09-06" "2012" 9 4 10 0 1 3 0.66 0.5909 0.94 0.1343 9
"12161" 151 "2012-05-26" "2012" 5 6 21 0 0 2 0.72 0.6818 0.62 0.194 100
"16128" 593 "2012-11-09" "2012" 11 5 17 0 1 1 0.42 0.4242 0.44 0.1343 61
"7207" 114 "2011-11-01" "2011" 11 2 21 0 1 1 0.36 0.3788 0.81 0 13
"5855" 90 "2011-09-06" "2011" 9 2 10 0 1 3 0.54 0.5152 0.83 0.3582 16
"2897" 135 "2011-05-05" "2011" 5 4 14 0 1 1 0.54 0.5152 0.28 0.4478 19
"7483" 97 "2011-11-13" "2011" 11 0 9 0 0 1 0.4 0.4091 0.54 0.2836 38
"16851" 86 "2012-12-09" "2012" 12 0 21 0 0 2 0.36 0.3636 1 0.1045 10
"9965" 3 "2012-02-25" "2012" 2 6 5 0 0 2 0.3 0.2727 0.42 0.2985 0
"4910" 113 "2011-07-28" "2011" 7 4 11 0 1 1 0.84 0.8182 0.56 0.2836 41
"2862" 1 "2011-05-04" "2011" 5 3 3 0 1 3 0.42 0.4242 0.88 0.5224 0
"5487" 239 "2011-08-21" "2011" 8 0 12 0 0 1 0.82 0.803 0.59 0.2836 135
"8775" 102 "2012-01-06" "2012" 1 5 10 0 1 1 0.26 0.2576 0.65 0.194 14
"2951" 137 "2011-05-07" "2011" 5 6 20 0 0 1 0.56 0.5303 0.43 0.1343 82
"5368" 147 "2011-08-16" "2011" 8 2 13 0 1 1 0.76 0.6818 0.48 0.2985 45
"6806" 31 "2011-10-16" "2011" 10 0 3 0 0 1 0.42 0.4242 0.54 0.1343 11
"8467" 52 "2011-12-24" "2011" 12 6 10 0 0 1 0.3 0.2576 0.42 0.4925 4
"1813" 30 "2011-03-21" "2011" 3 1 6 0 1 3 0.32 0.303 0.76 0.2537 2
"16332" 7 "2012-11-18" "2012" 11 0 5 0 0 1 0.28 0.2879 0.81 0.1343 5
"6339" 239 "2011-09-26" "2011" 9 1 16 0 1 1 0.7 0.6515 0.65 0.1642 74
"9097" 90 "2012-01-19" "2012" 1 4 22 0 1 2 0.26 0.2273 0.44 0.4179 0
"14619" 461 "2012-09-06" "2012" 9 4 7 0 1 2 0.7 0.6667 0.84 0.1045 21
"2339" 211 "2011-04-12" "2011" 4 2 8 0 1 3 0.48 0.4697 0.88 0.3881 15
"10256" 282 "2012-03-08" "2012" 3 4 9 0 1 1 0.46 0.4545 0.72 0.4627 19
"6669" 158 "2011-10-10" "2011" 10 1 10 1 0 1 0.56 0.5303 0.73 0.1642 107
"14551" 272 "2012-09-03" "2012" 9 1 11 1 0 2 0.74 0.697 0.7 0.2836 187
"4458" 220 "2011-07-09" "2011" 7 6 15 0 0 1 0.84 0.7273 0.34 0.0896 182
"13771" 134 "2012-08-01" "2012" 8 3 23 0 1 1 0.7 0.6667 0.74 0 18
"14750" 767 "2012-09-11" "2012" 9 2 18 0 1 1 0.64 0.6212 0.36 0.1642 110
"5971" 28 "2011-09-11" "2011" 9 0 7 0 0 1 0.6 0.5455 0.88 0 9
"7587" 379 "2011-11-17" "2011" 11 4 17 0 1 1 0.32 0.2879 0.42 0.3881 20
"14261" 335 "2012-08-22" "2012" 8 3 9 0 1 1 0.68 0.6364 0.65 0 41
"13083" 62 "2012-07-04" "2012" 7 3 7 1 0 1 0.68 0.6364 0.65 0 10
"7325" 130 "2011-11-06" "2011" 11 0 19 0 0 1 0.38 0.3939 0.76 0.194 21
"7689" 29 "2011-11-21" "2011" 11 1 23 0 1 3 0.4 0.4091 0.87 0.1642 4
"2384" 12 "2011-04-14" "2011" 4 4 5 0 1 1 0.34 0.3485 0.76 0.0896 2
"245" 46 "2011-01-11" "2011" 1 2 13 0 1 2 0.2 0.2273 0.59 0.0896 6
"11569" 31 "2012-05-02" "2012" 5 3 5 0 1 1 0.54 0.5152 0.9 0.1343 2
"17243" 26 "2012-12-26" "2012" 12 3 7 0 1 3 0.2 0.1818 0.86 0.3284 0
"6559" 228 "2011-10-05" "2011" 10 3 20 0 1 1 0.52 0.5 0.77 0.1642 18
"1932" 8 "2011-03-26" "2011" 3 6 6 0 0 1 0.18 0.1818 0.55 0.194 2
"12797" 278 "2012-06-22" "2012" 6 5 9 0 1 1 0.76 0.7121 0.58 0.2239 55
"16112" 17 "2012-11-09" "2012" 11 5 1 0 1 1 0.32 0.303 0.53 0.2836 3
"2703" 135 "2011-04-27" "2011" 4 3 12 0 1 1 0.66 0.6061 0.78 0.3284 38
"11308" 149 "2012-04-21" "2012" 4 6 8 0 0 1 0.52 0.5 0.81 0.2537 52
"5677" 56 "2011-08-29" "2011" 8 1 23 0 1 1 0.6 0.6061 0.6 0.0896 19
"12528" 7 "2012-06-11" "2012" 6 1 4 0 1 1 0.64 0.5909 0.78 0.1343 0
"13549" 760 "2012-07-23" "2012" 7 1 17 0 1 1 0.82 0.7727 0.52 0.1343 87
